Word,Length,Freq_HAL,Log_Freq_HAL,MorphSp,POS
halfhearted,11,16,2.77,{half}{heart}>ed>,JJ
hallelujahs,11,0,0,{hallelujah}>s>,NN
hallucinate,11,109,4.69,{hallucin--ate},VB
goddaughter,11,9,2.2,{god}{daughter},NN
godforsaken,11,100,4.61,{god}{for--sake}>en>,JJ
governments,11,12467,9.43,{govern}>ment>>s>,NN
grammarians,11,114,4.74,{gramm--ar}>ian>>s>,NN
grammatical,11,1336,7.2,{gramm--atic}>al>,JJ
grandfather,11,3817,8.25,{grand}{father},NN
grandmother,11,3004,8.01,{grand}{mother},NN
grandnephew,11,10,2.3,{grand}{nephew},NN
grandparent,11,191,5.25,{grand}{parent},NN
graphically,11,1103,7.01,{graph}>ic>>al>>ly>,RB
grasshopper,11,400,5.99,{grass}{hop}>er>,NN
gravitation,11,646,6.47,{gravit--ate}>ion>,NN
greasepaint,11,17,2.83,{grease}{paint},NN
greaseproof,11,14,2.64,{grease}{proof},JJ
greengrocer,11,9,2.2,{green}{grocer},NN
greenhouses,11,133,4.89,{green}{house}>s>,NN
genealogies,11,185,5.22,{genea--log--y}>s>,NN
generalized,11,1824,7.51,{gener--al}>ise>>ed>,JJ|VB
generations,11,8468,9.04,{gener--ate}>ion>>s>,NN
gentlemanly,11,86,4.45,{gentle}>man>>ly>,JJ
gentlewoman,11,423,6.05,{gentle}>woman>,NN
geographers,11,88,4.48,{geo--graph--er}>s>,NN
geometrical,11,371,5.92,{geo--metr--ic}>al>,JJ
geopolitics,11,104,4.64,<geo<{politics},NN
germination,11,200,5.3,{germin--ate}>ion>,NN
gerrymander,11,6,1.79,{gerry--mander},VB
gesticulate,11,10,2.3,{gesticulate},VB
gingerbread,11,122,4.8,{ginger}{bread},NN
glassblower,11,9,2.2,{glass}{blow}>er>,NN
glasscutter,11,0,0,NULL,NULL
fruitlessly,11,51,3.93,{fruit}>less>>ly>,RB
frustrating,11,3886,8.27,{frustrate}>ing>,JJ|VB
frustration,11,4331,8.37,{frustrate}>ion>,NN
fulfillment,11,1661,7.42,{ful--fill}>ment>,NN
fullbacking,11,0,0,{full}{back}>ing>,VB
fulminating,11,19,2.94,{fulminate}>ing>,VB|NN
functioning,11,3959,8.28,{funct--ion}>ing>,VB|NN
fundamental,11,11945,9.39,{funda--ment}>al>,JJ
furnishings,11,265,5.58,{furnish}>ing>>s>,NN
furthermore,11,11586,9.36,{furth--er}{more},RB
furthermost,11,0,0,{furth--er}{most},JJ
Gainesville,11,1545,7.34,{gaines--ville},NN
gallbladder,11,70,4.25,{gall}{bladder},NN
galvanizing,11,64,4.16,{galvan--ize}>ing>,VB|NN
gastronomic,11,29,3.37,{gastro--nom--ic},JJ
forerunners,11,67,4.2,<fore<{run}>er>>s>,NN
foreseeable,11,848,6.74,<fore<{see}>able>,JJ
forethought,11,1755,7.47,<fore<{thought},NN
forgiveness,11,2117,7.66,{forgive}>ness>,NN
formalities,11,232,5.45,{formal}>ity>>s>,NN
formulating,11,581,6.36,{formul--ate}>ing>,VB|NN
formulation,11,1497,7.31,{formul--ate}>ion>,NN
fornication,11,383,5.95,{fornicate}>ion>,NN
forthcoming,11,3737,8.23,{forth}{come}>ing>,JJ|VB
fortunately,11,7535,8.93,{fortune}>ate>>ly>,RB
foundations,11,2804,7.94,{found}>ation>>s>,NN
fragmentary,11,159,5.07,{fragment}>ary>,JJ
Franciscans,11,92,4.52,{franciscan}>s>,NN
Francisco's,11,255,5.54,{francisco}>'s>,encl
frankfurter,11,157,5.06,{frankfurt}>er>,NN
frantically,11,1128,7.03,{frantic}>ally>,RB
fraternized,11,8,2.08,{fratern--ize}>ed>,VB|JJ
fraudulence,11,22,3.09,{fraud}>ulence>,NN
freebooters,11,11,2.4,{free}{boot}>er>>s>,NN
freeholders,11,21,3.04,{free}{hold}>er>>s>,NN
freethinker,11,31,3.43,{free}{think}>er>,NN
Frenchman's,11,21,3.04,{french}>man>>'s>,encl
Frenchwoman,11,11,2.4,{french}>woman>,NN
frequencies,11,7012,8.86,{frequ--ence}>y>>s>,NN
friendships,11,1156,7.05,{friend}>ship>>s>,NN
frightening,11,2385,7.78,{fright}>en>>ing>,JJ|VB
frightfully,11,78,4.36,{fright}>ful>>ly>,RB
flexibility,11,6507,8.78,{flex}>able>>ity>,NN
flirtatious,11,93,4.53,{flirt}>atious>,JJ
floorboards,11,98,4.58,{floor}{board}>s>,NN
floundering,11,152,5.02,{flounder}>ing>,VB|NN|JJ
flourishing,11,298,5.7,{flourish}>ing>,VB|JJ
fluctuating,11,223,5.41,{fluctuate}>ing>,VB
fluctuation,11,309,5.73,{fluctuate}>ion>,NN
fluorescent,11,975,6.88,{fluor--esce}>ent>,JJ
foolishness,11,734,6.6,{fool}>ish>>ness>,NN
forbearance,11,114,4.74,{for--bear}>ance>,NN
forebearing,11,0,0,NULL,NULL
forecasters,11,305,5.72,<fore<{cast}>er>>s>,NN
forecasting,11,1498,7.31,<fore<{cast}>ing>,VB|NN|JJ
foreclosing,11,10,2.3,<fore<{close}>ing>,VB|NN
foreclosure,11,173,5.15,<fore<{close}>ure>,NN
forefathers,11,1109,7.01,<fore<{father}>s>,NN
forefingers,11,38,3.64,<fore<{finger}>s>,NN
fertilizers,11,403,6,{fertile}>ise>>er>>s>,NN
festivities,11,425,6.05,{fest--ive}>ity>>s>,NN
feudalistic,11,21,3.04,NULL,NULL
filibusters,11,21,3.04,{filibuster}>s>,VB|NN
financially,11,3550,8.17,{finance}>ial>>ly>,RB
fingerboard,11,436,6.08,{finger}{board},NN
fingernails,11,835,6.73,{finger}{nail}>s>,NN
fingerprint,11,3570,8.18,{finger}{print},NN|VB
firecracker,11,223,5.41,{fire}{crack}>er>,NN
fisherman's,11,211,5.35,{fish}>er>>man>>'s>,encl
fishmongers,11,3,1.1,{fish}{monger}>s>,NN
flabbergast,11,12,2.48,{flabbergast},VB
flagellated,11,4,1.39,{flagellate}>ed>,VB|JJ
flamboyance,11,22,3.09,{flamboy--ance},NN
facetiously,11,62,4.13,{facetious}>ly>,RB
facilitated,11,725,6.59,{facilit--ate}>ed>,VB
facilitates,11,639,6.46,{facilit--ate}>s>,VB
familiarity,11,5837,8.67,{familiar}>ity>,NN
familiarize,11,811,6.7,{familiar}>ise>,VB
fascinating,11,4887,8.49,{fascinate}>ing>,JJ|VB
fascination,11,1478,7.3,{fascinate}>ion>,NN
fashionable,11,928,6.83,{fashion}>able>,JJ
feasibility,11,1566,7.36,{feasible}>ity>,NN
featureless,11,111,4.71,{feature}>less>,JJ
fellowships,11,600,6.4,{fellow}>ship>>s>,NN
executive's,11,48,3.87,{ex--ecute}>ive>>'s>,encl
executioner,11,704,6.56,{ex--ecute}>ion>>er>,NN
exemplified,11,549,6.31,{exempl--ify}>ed>,VB
exemplifies,11,226,5.42,{exempl--ify}>s>,VB
exhaustible,11,11,2.4,{exhaust}>ible>,JJ
exhibitions,11,755,6.63,{ex--hibit}>ion>>s>,NN
exhilarated,11,32,3.47,{exhilarate}>ed>,JJ|VB
exhortation,11,100,4.61,{exhort}>ation>,NN
exhumations,11,12,2.48,{ex--hume}>ation>>s>,NN
existential,11,485,6.18,{ex--ist}>ence>>ial>,JJ
exoneration,11,35,3.56,{exonerate}>ion>,NN
exorbitance,11,2,0.69,{exorbit--ance},NN
expansively,11,15,2.71,{expand}>ive>>ly>,RB
expectation,11,2424,7.79,{expect}>ation>,NN
expectorant,11,27,3.3,{expector--ant},NN|JJ
expectorate,11,9,2.2,{expector--ate},VB
expeditions,11,493,6.2,{ex--ped--it--ion}>s>,NN
expeditious,11,91,4.51,{ex--ped--ite}>ious>,JJ
experiments,11,8069,9,{experi--ment}>s>,NN
expenditure,11,1275,7.15,{ex--pend}>iture>,NN
experienced,11,29904,10.31,{experi--ence}>ed>,VB
experiences,11,25256,10.14,{experi--ence}>s>,NN|VB
explanatory,11,701,6.55,{explain}>atory>,JJ
explanation,11,23179,10.05,{explain}>ation>,NN
exploration,11,4287,8.36,{explore}>ation>,NN
explorative,11,25,3.22,{explore}>ative>,JJ
exploratory,11,418,6.04,{explore}>atory>,JJ
explosively,11,113,4.73,{ex--plode}>ive>>ly>,RB
exponential,11,1040,6.95,{exponent}>ial>,JJ
exportation,11,108,4.68,{ex--port}>ation>,NN
expositions,11,135,4.91,{ex--posit--ion}>s>,NN
expostulate,11,11,2.4,<ex<{postul--ate},VB
expressible,11,69,4.23,{ex--press}>ible>,JJ
expressions,11,4578,8.43,{ex--press}>ion>>s>,NN
expressways,11,37,3.61,{ex--press}{way}>s>,NN
expropriate,11,63,4.14,{ex--propri--ate},VB
expurgation,11,4,1.39,{ex--purg--ate}>ion>,NN
exquisitely,11,227,5.42,{exquisite}>ly>,RB
extemporary,11,1,0,{ex--tempor--ary},JJ
extensively,11,4013,8.3,{ex--tend}>ive>>ly>,RB
extenuating,11,155,5.04,{ex--tenu--ate}>ing>,VB
extenuation,11,3,1.1,{ex--tenu--ate}>ion>,NN
exterminate,11,540,6.29,{ex--termin--ate},VB
externalize,11,44,3.78,{ex--tern--al}>ise>,VB
extradition,11,476,6.17,{extradite}>ion>,NN
extrapolate,11,666,6.5,{extra--polate},VB
extravagant,11,380,5.94,{extravag--ant},JJ
extremities,11,285,5.65,{extreme}>ity>>s>,NN
extrication,11,20,3,{extric--ate}>ion>,NN
fabricating,11,285,5.65,{fabric}>ate>>ing>,VB|NN|JJ
fabrication,11,2565,7.85,{fabric}>ation>,NN
erratically,11,242,5.49,{err--atic}>ally>,RB
erroneously,11,888,6.79,{err--oneous}>ly>,RB
essentially,11,15440,9.64,{essence}>ial>>ly>,RB
established,11,24142,10.09,{establish}>ed>,VB
establishes,11,1240,7.12,{establish}>s>,VB
ethnography,11,110,4.7,{ethno--graph--y},NN
ethnologist,11,12,2.48,{ethn--olog--ist},NN
etymologist,11,16,2.77,{etymo--log--ist},NN
euphemistic,11,46,3.83,{eu--phem--ist}>ic>,JJ
evaluations,11,1694,7.43,{e--valu--ate}>ion>>s>,NN
evangelical,11,851,6.75,{evangel}>ic>>al>,JJ
evangelists,11,351,5.86,{evangel}>ist>>s>,NN
evaporation,11,655,6.48,{e--vapor--ate}>ion>,NN
evaporative,11,124,4.82,{e--vapor--ate}>ive>,JJ
eventuality,11,153,5.03,{eventu--al}>ity>,NN
everlasting,11,1269,7.15,{ever}{last}>ing>,JJ
everybody's,11,2082,7.64,{every--body}>'s>,encl
exacerbated,11,406,6.01,{ex--acerb--ate}>ed>,VB
exacerbates,11,102,4.62,{ex--acerb--ate}>s>,VB
exaggerated,11,1635,7.4,{exaggerate}>ed>,VB
exaltations,11,3,1.1,{exalt}>ation>>s>,NN
examination,11,4756,8.47,{examine}>ation>,NN
exasperated,11,314,5.75,{exasperate}>ed>,JJ|VB
exboyfriend,11,8,2.08,NULL,NULL
excavations,11,269,5.59,{excavate}>ion>>s>,NN
exceedingly,11,1408,7.25,{ex--ceed}>ing>>ly>,RB
excellences,11,9,2.2,{excel}>ence>>s>,NN
excellently,11,261,5.56,{excel}>ent>>ly>,RB
exceptional,11,4363,8.38,{ex--cept}>ion>>al>,JJ
excessively,11,1685,7.43,{ex--cess}>ive>>ly>,RB
exclamation,11,730,6.59,{ex--claim}>ation>,NN
exclamatory,11,8,2.08,{ex--claim}>atory>,JJ
encroaching,11,183,5.21,{encroach}>ing>,VB
exclusively,11,7338,8.9,{ex--clude}>ive>>ly>,RB
endangering,11,448,6.1,<en<{danger}>ing>,VB
endearments,11,22,3.09,<en<{dear}>ment>>s>,NN
endeavoring,11,50,3.91,{endeavor}>ing>,VB|NN|JJ
endorsement,11,2140,7.67,{endorse}>ment>,NN
endothermic,11,27,3.3,<endo<{therm--ic},JJ
enforceable,11,389,5.96,<en<{force}>able>,JJ
enforcement,11,9839,9.19,<en<{force}>ment>,NN
enfranchise,11,13,2.56,<en<{franchise},VB
engagements,11,772,6.65,{engage}>ment>>s>,NN
engineering,11,70438,11.16,{engine}>eer>>ing>,NN|VB
enhancement,11,3892,8.27,{enhance}>ment>,NN
enlargement,11,505,6.22,<en<{large}>ment>,NN
enlightened,11,2955,7.99,<en<{light}>en>>ed>,JJ
enslavement,11,387,5.96,<en<{slave}>ment>,NN
enterprises,11,7769,8.96,{enterprise}>s>,NN
entertained,11,1117,7.02,{enter--tain}>ed>,VB|JJ
entertainer,11,514,6.24,{enter--tain}>er>,NN
enthralling,11,79,4.37,<en<{thrall}>ing>,JJ|VB
enthusiasms,11,42,3.74,{enthus--iasm}>s>,NN
enthusiasts,11,2515,7.83,{enthus--iast}>s>,NN
enticements,11,13,2.56,{entice}>ment>>s>,NN
entitlement,11,1200,7.09,<en<{title}>ment>,NN
entranceway,11,16,2.77,NULL,NN
enumeration,11,445,6.1,{e--numer--ate}>ion>,NN
enunciation,11,67,4.2,{e--nunci--ate}>ion>,NN
envelopment,11,65,4.17,{envelop}>ment>,NN
environment,11,70839,11.17,{environ}>ment>,NN
equidistant,11,89,4.49,<equi<{dist--ant},JJ
equilateral,11,99,4.6,<equi<{lateral},JJ
equilibrium,11,3598,8.19,{equi--libr--ium},NN|JJ
equivalence,11,937,6.84,{equi--val--ence},NN
equivalents,11,1357,7.21,{equi--val--ent}>s>,NN
eradication,11,431,6.07,{e--radic--ate}>ion>,NN
ejaculation,11,727,6.59,{ejaculate}>ion>,NN
elaborately,11,94,4.54,{e--labor--ate}>ly>,RB
elaboration,11,390,5.97,{e--labor--ate}>ion>,NN
elderflower,11,5,1.61,{eld--er}{flow}>er>,NN
electioneer,11,2,0.69,{elect}>ion>>eer>,NN|VB
electrician,11,357,5.88,{electr--ic}>ian>,NN
electricity,11,5014,8.52,{electr--ic}>ity>,NN
electrocute,11,115,4.74,{electro--cute},VB
electrolyte,11,347,5.85,{electro--lyte},NN
electronics,11,16925,9.74,{electr--on}>ics>,NN
elephantine,11,48,3.87,{elephant}>ine>,JJ
elicitation,11,44,3.78,{elicit}>ation>,NN
eligibility,11,1645,7.41,{eligible}>ity>,NN
eliminating,11,3497,8.16,{e--limin--ate}>ing>,VB
elimination,11,3194,8.07,{e--limin--ate}>ion>,NN
Elizabethan,11,228,5.43,{elizabeth}>an>,JJ
elucidation,11,200,5.3,<e<{luc--id}>ation>,NN
elusiveness,11,6,1.79,NULL,NULL
emancipated,11,108,4.68,{emancip--ate}>ed>,VB|JJ
emancipator,11,21,3.04,{emancip--ate}>or>,NN
emasculated,11,82,4.41,{e--mascul--ate}>ed>,VB
embarkation,11,36,3.58,{em--bark}>ation>,NN
embarrassed,11,2986,8,{embarrass}>ed>,VB|JJ
embellished,11,142,4.96,{em--bell--ish}>ed>,VB
embodiments,11,46,3.83,<em<{body}>ment>>s>,NN
embroidered,11,357,5.88,{embroider}>ed>,VB
emergencies,11,987,6.89,{emergency}>s>,NN
emotionally,11,3528,8.17,{emote}>ion>>al>>ly>,RB
emotionless,11,132,4.88,{emote}>ion>>less>,JJ
emphasizing,11,1012,6.92,{em--phas--ize}>ing>,VB
empirically,11,648,6.47,{empiric}>ally>,RB
encapsulate,11,390,5.97,<en<{capsule}>ate>,VB
enchantment,11,3440,8.14,{enchant}>ment>,NN
enchantress,11,2202,7.7,{enchant}>ress>,NN
encompassed,11,242,5.49,<en<{compass}>ed>,VB
encompasses,11,1009,6.92,<en<{compass}>s>,VB
encountered,11,7826,8.97,{en--counter}>ed>,VB
encouraging,11,4268,8.36,<en<{courage}>ing>,VB
duplication,11,1440,7.27,{du--plic--ate}>ion>,NN
dynamically,11,3071,8.03,{dynam--ic}>ally>,RB
earnestness,11,69,4.23,{earnest}>ness>,NN
earthenware,11,43,3.76,{earth}>en>{ware},NN
earthmoving,11,12,2.48,{earth}{move}>ing>,JJ|NN
earthquakes,11,2027,7.61,{earth}{quake}>s>,NN
easternmost,11,20,3,{east}>ern>{most},JJ
eclecticism,11,40,3.69,{eclectic}>ism>,NN
economist's,11,55,4.01,{econom--ist}>'s>,encl
economizing,11,11,2.4,{econom--ize}>ing>,VB|NN
edification,11,549,6.31,{edify}>ation>,NN
educational,11,20906,9.95,{educ--ate}>ion>>al>,JJ
effectively,11,14005,9.55,{e--ffect}>ive>>ly>,RB
egregiously,11,124,4.82,{e--greg--ious}>ly>,RB
efficacious,11,185,5.22,{e--ffic--acious},JJ
efficiently,11,3429,8.14,{e--ffic--ient}>ly>,RB
egalitarian,11,372,5.92,{egal--itarian},JJ
domesticate,11,40,3.69,{domestic}>ate>,VB
domesticity,11,34,3.53,{domestic}>ity>,NN
domineering,11,167,5.12,{domin--eer}>ing>,VB
doorknocker,11,3,1.1,{door}{knock}>er>,NN
dormitories,11,107,4.67,{dorm--itory}>s>,NN
doublethink,11,54,3.99,NULL,NN
downhearted,11,7,1.95,{down}{heart}>ed>,JJ
downpayment,11,121,4.8,{down}{pay}>ment>,NN
downtalking,11,1,0,NULL,NULL
downtrodden,11,276,5.62,{down}{trod}>en>,JJ
dramatizing,11,50,3.91,{drama}>ise>>ing>,VB|NN
drastically,11,2304,7.74,{drastic}>ally>,RB
dreadnought,11,391,5.97,{dread}{nought},NN
dreamlessly,11,4,1.39,{dream}>less>>ly>,RB
drunkenness,11,215,5.37,{drunk}>en>>ness>,NN
dismembered,11,159,5.07,<dis<{member}>ed>,VB
dismounting,11,130,4.87,<dis<{mount}>ing>,VB|NN
disobedient,11,162,5.09,<dis<{obedi--ent},JJ
disorganize,11,3,1.1,<dis<{organ--ize},VB
disoriented,11,414,6.03,<dis<{orient}>ed>,VB|JJ
disparities,11,291,5.67,<dis<{par--ity}>s>,NN
dispatching,11,352,5.86,{dis--patch}>ing>,VB
dispensable,11,32,3.47,{dis--pense}>able>,JJ
displeasing,11,58,4.06,<dis<{please}>ing>,JJ|VB
displeasure,11,740,6.61,<dis<{pleas--ure},NN
disposition,11,1291,7.16,{dis--posit--ion},NN
disputation,11,45,3.81,{dis--pute}>ation>,NN
disquieting,11,118,4.77,<dis<{quiet}>ing>,JJ|VB
disregarded,11,527,6.27,<dis<{regard}>ed>,VB|JJ
disremember,11,17,2.83,<dis<{remember},VB
disruptions,11,188,5.24,{dis--rupt}>ion>>s>,NN
disseminate,11,936,6.84,{dis--semin--ate},VB
dissensions,11,31,3.43,{di--ssent}>ion>>s>,NN
dissipating,11,99,4.6,{dissipate}>ing>,VB
dissipation,11,493,6.2,{dissipate}>ion>,NN
dissociated,11,105,4.65,{dis--soci--ate}>ed>,VB
dissolution,11,707,6.56,{dis--solut--ion},NN
dissonances,11,21,3.04,{disson--ance}>s>,NN
distasteful,11,892,6.79,<dis<{taste}>ful>,JJ
distinction,11,7805,8.96,{distinct}>ion>,NN
distinctive,11,2171,7.68,{distinct}>ive>,JJ
distinguish,11,5239,8.56,{distinguish},VB
distortable,11,3,1.1,{dis--tort}{able},JJ
distortions,11,1146,7.04,{dis--tort}>ion>>s>,NN
distracting,11,991,6.9,{dis--tract}>ing>,VB
distraction,11,1297,7.17,{dis--tract}>ion>,NN
distressing,11,469,6.15,{distress}>ing>,JJ|VB
distributed,11,28505,10.26,{dis--tribute}>ed>,VB
distributes,11,1183,7.08,{dis--tribute}>s>,VB
distributor,11,7604,8.94,{dis--tribute}>or>,NN
distrustful,11,83,4.42,<dis<{trust}>ful>,JJ
disturbance,11,1754,7.47,{dis--turb}>ance>,NN
diversified,11,921,6.83,{diverse}>ify>>ed>,JJ
diversities,11,38,3.64,{diverse}>ity>>s>,NN
divestiture,11,55,4.01,{di--vest}>iture>,NN
divingboard,11,0,0,{dive}>ing>-{board},NN
doctrinally,11,23,3.14,{doctrine}>al>>ly>,RB
documentary,11,3497,8.16,{document}>ary>,NN
dignitaries,11,163,5.09,{dign--itary}>s>,NN
digressions,11,64,4.16,{di--gress}>ion>>s>,NN
dilapidated,11,86,4.45,{dilapidate}>ed>,JJ
dimensional,11,2343,7.76,{dimension}>al>,JJ
diminishing,11,899,6.8,{dimin--ish}>ing>,VB
diplomatist,11,0,0,{diploma--tist},NN|JJ
directional,11,1465,7.29,{direct}>ion>>al>,JJ
directivity,11,21,3.04,NULL,NULL
directorate,11,784,6.66,{direct}>or>>ate>,NN
disaffected,11,173,5.15,<dis<{a--ffect}>ed>,JJ|VB
disappeared,11,6157,8.73,<dis<{appear}>ed>,VB
disapproval,11,613,6.42,<dis<{approve}>al>,NN
disapproved,11,351,5.86,<dis<{approve}>ed>,VB
disapproves,11,159,5.07,<dis<{approve}>s>,VB
disarmament,11,766,6.64,<dis<{arm}>ament>,NN
disarranged,11,2,0.69,<dis<{arrange}>ed>,VB|JJ
disassemble,11,550,6.31,<dis<{a--ssemble},VB
disassembly,11,329,5.8,<dis<{a--ssemble}>y>,NN
disbelieved,11,59,4.08,<dis<{believe}>ed>,VB
disbeliever,11,41,3.71,<dis<{believe}>er>,NN
disbelieves,11,20,3,<dis<{belief}>s>,VB
discernable,11,312,5.74,{dis--cern}>able>,JJ
discernment,11,274,5.61,{dis--cern}>ment>,NN
discernible,11,296,5.69,{dis--cern}>ible>,JJ
discharging,11,279,5.63,<dis<{charge}>ing>,VB|NN|JJ
disciplined,11,997,6.9,{discipline}>ed>,VB|JJ
disciplines,11,2741,7.92,{discipline}>s>,NN|VB
disclosures,11,284,5.65,{dis--close}>ure>>s>,NN
discordance,11,11,2.4,NULL,NN
discontinue,11,758,6.63,<dis<{continue},VB
discounting,11,382,5.95,{dis--count}>ing>,NN|VB
discouraged,11,2750,7.92,{dis--courage}>ed>,VB
discourtesy,11,13,2.56,<dis<{courtesy},NN
discoveries,11,1805,7.5,{discover}>y>>s>,NN
discovering,11,2114,7.66,{discover}>ing>,VB
discredited,11,877,6.78,<dis<{credit}>ed>,VB|JJ
discrepancy,11,922,6.83,{discrep--ancy},NN
discussions,11,25851,10.16,{discus}>ion>>s>,NN
disembodied,11,210,5.35,<dis<<em<{body}>ed>,JJ
disentangle,11,65,4.17,<dis<<en<{tangle},VB
disgraceful,11,330,5.8,{dis--grace}>ful>,JJ
disgruntled,11,828,6.72,{disgruntle}>ed>,JJ
dishevelled,11,66,4.19,{dishevel}>ed>,VB|JJ
dishwashers,11,147,4.99,{dish}{wash}>er>>s>,NN
disillusion,11,90,4.5,<dis<{illus--ion},VB
disinterest,11,184,5.21,<dis<{interest},NN
disjunction,11,82,4.41,{dis--junct}>ion>,NN
disjunctive,11,91,4.51,{dis--junct}>ive>,JJ
dislocation,11,200,5.3,<dis<{locate}>ion>,NN
descendants,11,3300,8.1,{de--scend}>ant>>s>,NN
descendents,11,664,6.5,{de--scend}>ent>>s>,NN
description,11,48795,10.8,{de--script--ion},NN
descriptive,11,2794,7.94,{de--script--ive},JJ
desecration,11,213,5.36,{de--secrate}>ion>,NN
desegregate,11,13,2.56,<de<{se--greg--ate},VB
desensitize,11,49,3.89,<de<{sens--itize},VB
designating,11,381,5.94,{design}>ate>>ing>,VB
designation,11,2120,7.66,{design}>ate>>ion>,NN
desolations,11,4,1.39,{desolate}>ion>>s>,NN
desperadoes,11,20,3,{desperado}>s>,NN
desperately,11,4796,8.48,{desperate}>ly>,RB
desperation,11,1237,7.12,{desperate}>ion>,NN
despondency,11,35,3.56,{despond--ence}>y>,NN
destination,11,6997,8.85,{destine}>ation>,NN
destitution,11,62,4.13,{de--stitute}>ion>,NN
destruction,11,12688,9.45,{de--struct}>ion>,NN
destructive,11,4735,8.46,{de--struct}>ive>,JJ
detective's,11,37,3.61,NULL,NULL
deteriorate,11,563,6.33,{deteriorate},VB
determinant,11,432,6.07,{determine}>ant>,NN
determinate,11,105,4.65,{determine}>ate>,JJ
determining,11,5074,8.53,{determine}>ing>,VB|NN|JJ
determinism,11,724,6.58,{determine}>ism>,NN
detestation,11,24,3.18,{detest}>ation>,NN
detrimental,11,1308,7.18,{detriment}>al>,JJ
Deuteronomy,11,627,6.44,{deuteronomy},NN
Deutschmark,11,37,3.61,{deutsch--mark},NN
devastating,11,2123,7.66,{devastate}>ing>,JJ|VB
devastation,11,524,6.26,{devastate}>ion>,NN
development,11,130333,11.78,{develop}>ment>,NN
diacritical,11,162,5.09,{dia--crit--ic}>al>,JJ
diagnosable,11,33,3.5,{dia--gnose}>able>,JJ
dialectical,11,188,5.24,{dia--lect}>ic>>al>,JJ|NN
diametrical,11,4,1.39,{dia--metr--ic}>al>,JJ
dictatorial,11,347,5.85,{dict--ate}>or>>ial>,JJ
differences,11,23533,10.07,{differ}>ence>>s>,NN
differently,11,9725,9.18,{differ}>ent>>ly>,RB
diffraction,11,596,6.39,{di--ffract}>ion>,NN
definitions,11,8756,9.08,{de--fine}>ition>>s>,NN
deformation,11,486,6.19,{de--form}>ation>,NN
deformities,11,151,5.02,{de--form}>ity>>s>,NN
degenerated,11,441,6.09,{de--gener--ate}>ed>,VB
degradation,11,1827,7.51,{degrade}>ation>,NN
dehydration,11,441,6.09,<de<{hydr--ate}>ion>,NN
deification,11,64,4.16,NULL,NN
delegations,11,432,6.07,{deleg--ate}>ion>>s>,NN
deleterious,11,348,5.85,{deleterious},JJ
deliciously,11,261,5.56,{delicious}>ly>,RB
delineating,11,79,4.37,{de--line--ate}>ing>,VB
delineation,11,133,4.89,{de--line--ate}>ion>,NN
delinquency,11,238,5.47,{delinqu--ency},NN
delinquents,11,107,4.67,{delinqu--ent}>s>,NN
deliverance,11,1020,6.93,{deliver}>ance>,NN
deliveryman,11,15,2.71,{deliver}>y>{man},NN
demagnetize,11,16,2.77,<de<{magnet}>ise>,VB
demandingly,11,7,1.95,NULL,NULL
demarcation,11,287,5.66,{de--marc--ate}>ion>,NN
democracies,11,747,6.62,{demo--cracy}>s>,NN
democratize,11,40,3.69,{demo--crat}>ise>,VB
demographer,11,17,2.83,{demo--graph--er},NN
demographic,11,1232,7.12,{demo--graph--ic},JJ
demonstrate,11,9563,9.17,{de--monstr--ate},VB
demoralized,11,125,4.83,{de--moral--ize}>ed>,VB|JJ
demoralizes,11,6,1.79,{de--moral--ize}>s>,VB
denigration,11,106,4.66,{denigrate}>ion>,NN
denominated,11,185,5.22,{de--nomin--ate}>ed>,VB
denominator,11,1127,7.03,{de--nomin--ate}>or>,NN
departments,11,5882,8.68,{department}>s>,NN
deprecation,11,22,3.09,{deprecate}>ion>,NN
deportation,11,656,6.49,{de--port}>ation>,NN
depositions,11,245,5.5,{de--pos--it}>ion>>s>,NN
depravities,11,8,2.08,{deprave}>ity>>s>,NN
depravation,11,48,3.87,{deprave}>ation>,NN
deprecatory,11,13,2.56,{deprecate}>ory>,JJ
depressants,11,94,4.54,{de--press}>ant>>s>,NN
depressions,11,433,6.07,{de--press}>ion>>s>,NN
deprivation,11,1095,7,{de--prive}>ation>,NN
derangement,11,55,4.01,{derange}>ment>,NN
dereliction,11,51,3.93,{derelict}>ion>,NN
derivations,11,156,5.05,{derive}>ation>>s>,NN
dermatology,11,183,5.21,{derm--at--olog--y},NN
daydreaming,11,237,5.47,{day}{dream}>ing>,NN|VB
deactivated,11,286,5.66,<de<{act}>ive>>ate>>ed>,VB|JJ
dealerships,11,393,5.97,{deal}>er>>ship>>s>,NN
debarkation,11,16,2.77,<de<{bark}>ation>,NN
debilitated,11,45,3.81,{debilitate}>ed>,VB
deceptively,11,205,5.32,{de--cept--ive}>ly>,RB
declamation,11,13,2.56,{de--claim}>ation>,NN
declarative,11,293,5.68,{declare}>ative>,JJ
declamatory,11,5,1.61,{de--claim}>atory>,JJ
declaration,11,7333,8.9,{declare}>ation>,NN
declaratory,11,283,5.65,{declare}>atory>,JJ
declination,11,236,5.46,{de--cline}>ation>,NN
decomposing,11,164,5.1,<de<{com--pose}>ing>,VB|NN|JJ
decorations,11,816,6.7,{decor}>ate>>ion>>s>,NN
deductibles,11,69,4.23,{de--duct}>ible>>s>,NN
deerstalker,11,20,3,{deer}{stalk}>er>,NN
